exploration_start,exploration_min,exploration_anneal_steps,exploration_temp,lr_init,lr_decay,decay_freq,idealization,discount,history_len,target_update_freq,batch_size,n_epochs,normalize,input_dropout,batch_normalization,streams_size,loss,hidden_activation,out_activation,weights_init,optimizer,layer_sizes,memory_size,q_clip
0.5441502703609845,0.4456009758880336,249,1.0,0.08694488777961232,0.8786707575534003,156,0.8357466161893896,0.5184053687150187,2,0,275,1,True,0.0,False,-1,mae,sigmoid,linear,random_uniform,adam,[128],185579,"[-1868, 1868]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.75,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,75,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.6664277423133422,0.3858010523601574,269,1.0,0.0027935766494504347,0.5669707243877405,158,0.5283077339758679,0.6883480050495179,2,0,286,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_normal,adam,"[256, 256]",192299,"[-6374, 6374]"
0.7686866147245054,0.37954919653685637,68,1.0,0.002358656440793903,0.7132263594160624,73,0.13521817340545209,0.662070503896607,2,0,393,5,False,0.5,True,128,mae,sigmoid,linear,he_normal,adam,"[256, 512]",12493,"[-6343, 6343]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,[512],50000,"[-10000, 10000]"
0.7964223091125092,0.4222886085419277,291,-1.0,0.007035737028722149,0.6313047017599905,97,0.89177300078208,0.9818313802505148,2,39,97,1,False,0.0,False,-1,logcosh,sigmoid,softmax,glorot_uniform,adamax,"[384, 192]",127144,"[-3338, 3338]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.7146957834665373,0.2653269880383926,134,-1.0,0.0014079368984833988,0.6593316860121781,147,0.36813269729308157,0.6479269521451592,3,31,438,1,False,0.0,False,-1,mse,sigmoid,linear,glorot_normal,adam,"[256, 256, 256]",140735,"[-2174, 2174]"
0.5768471525038983,0.3654906461068304,208,1.0,0.0023600241058409194,0.7768222419729088,227,0.6748473459286922,0.6384468754085455,2,0,469,4,False,0.0,False,-1,mae,sigmoid,linear,lecun_normal,nadam,[64],45786,"[-2870, 2870]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[128, 256]",50000,"[-10000, 10000]"
0.5,0.4851521446402737,280,1.0,0.1,0.95,168,0.9061070565686623,0.5,2,0,139,1,True,0.0,False,-1,mae,sigmoid,linear,random_uniform,adam,[128],200000,"[-1081, 1081]"
0.8482592294302469,0.2620528435009579,215,1.0,0.0028671452330188874,0.1459369062372901,251,0.5312209649438159,0.60483788868307,2,0,854,1,True,0.0,False,-1,mse,relu,linear,random_uniform,adam,"[256, 128]",90398,"[-7239, 7239]"
0.6077147330151775,0.5,92,-1.0,0.08826582689197615,0.8598395939347356,56,0.2573896860482597,0.997052866591914,2,48,986,4,False,0.0,True,-1,mse,sigmoid,linear,lecun_uniform,adam,"[32, 64]",154845,"[-3352, 3352]"
0.6891977905404938,0.17353127395387022,142,1.0,0.06894728316514481,0.20276482088446818,103,0.6267351915612182,0.7555636539420386,2,0,540,2,False,0.75,False,-1,mae,sigmoid,linear,glorot_normal,adam,"[256, 256]",73345,"[-7633, 7633]"
1.0,0.01,150,-1.0,0.005,0.2,100,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.5,0.5,40,-1.0,0.1,0.95,10,0.0,1.0,2,100,1000,5,True,0.0,True,-1,mse,sigmoid,softmax,lecun_uniform,adam,[128],200000,"[-1, 1]"
0.5,0.5,297,1.0,0.07610620632067576,0.9327267901182039,160,0.8976867591920246,0.5,2,0,246,1,True,0.0,False,-1,mae,sigmoid,linear,random_uniform,adam,[128],200000,"[-1173, 1173]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",5000,"(-10000, 10000)"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,128,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.6039535269243574,0.3750185324377892,146,1.0,0.030739687559027097,0.14089622559873205,47,0.7133679699203596,0.641354247272785,3,99,827,2,False,0.5,False,-1,logcosh,tanh,linear,random_normal,adam,[128],190926,"[-431, 431]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[256, 192]",50000,"[-10000, 10000]"
0.5130170277698914,0.3068868713205884,139,1.0,0.01880354395596112,0.3222752819285177,292,0.9764556619999428,0.5373257790959056,2,0,641,1,True,0.0,False,-1,mae,sigmoid,linear,random_uniform,adam,"[256, 256, 256]",106850,"[-3091, 3091]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.9750216551091907,0.15749180393480589,288,1.0,0.0031434054380227983,0.8274216151514675,78,0.8151000557680222,0.7719486176371955,2,0,58,1,True,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[64, 32]",141477,"[-6975, 6975]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.7964223091125092,0.4222886085419277,291,-1.0,0.007035737028722149,0.6313047017599905,97,0.89177300078208,0.9818313802505148,2,39,97,1,False,0.0,False,-1,logcosh,sigmoid,softmax,glorot_uniform,adamax,"[384, 192]",127144,"[-3338, 3338]"
1.0,0.01,150,-1.0,0.005,0.8,100,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
