episode,reward,steps
1142,200.0,200
1143,200.0,200
1144,200.0,200
1145,200.0,200
1146,200.0,200
1147,200.0,200
1148,200.0,200
1149,200.0,200
1150,200.0,200
1151,200.0,200
1152,200.0,200
1153,200.0,200
1154,200.0,200
1155,200.0,200
1156,200.0,200
1157,200.0,200
1158,200.0,200
1159,200.0,200
1160,110.0,110
1161,200.0,200
1162,192.0,192
1163,200.0,200
1164,200.0,200
1165,200.0,200
1166,200.0,200
1167,200.0,200
1168,200.0,200
1169,200.0,200
1170,200.0,200
1171,200.0,200
1172,200.0,200
1173,200.0,200
1174,200.0,200
1175,200.0,200
1176,200.0,200
1177,125.0,125
1178,200.0,200
1179,200.0,200
1180,200.0,200
1181,200.0,200
1182,200.0,200
1183,200.0,200
1184,200.0,200
1185,200.0,200
1186,200.0,200
1187,200.0,200
1188,200.0,200
1189,200.0,200
1190,200.0,200
1191,200.0,200
1192,200.0,200
1193,200.0,200
1194,200.0,200
1195,200.0,200
1196,200.0,200
1197,200.0,200
1198,200.0,200
1199,200.0,200
1200,200.0,200
1201,143.0,143
1202,200.0,200
1203,200.0,200
1204,200.0,200
1205,192.0,192
1206,200.0,200
1207,200.0,200
1208,200.0,200
1209,200.0,200
1210,200.0,200
1211,165.0,165
1212,200.0,200
1213,200.0,200
1214,200.0,200
1215,200.0,200
1216,200.0,200
1217,200.0,200
1218,152.0,152
1219,200.0,200
1220,200.0,200
1221,200.0,200
1222,200.0,200
1223,200.0,200
1224,200.0,200
1225,200.0,200
1226,200.0,200
1227,200.0,200
1228,200.0,200
1229,185.0,185
1230,200.0,200
1231,200.0,200
1232,200.0,200
1233,200.0,200
1234,200.0,200
1235,200.0,200
1236,200.0,200
1237,200.0,200
1238,200.0,200
1239,200.0,200
1240,200.0,200
1241,200.0,200
1242,200.0,200
1243,200.0,200
1244,200.0,200
1245,200.0,200
1246,200.0,200
1247,200.0,200
1248,200.0,200
1249,200.0,200
1250,200.0,200
1251,200.0,200
1252,200.0,200
1253,200.0,200
1254,200.0,200
1255,200.0,200
1256,200.0,200
1257,200.0,200
1258,200.0,200
1259,200.0,200
1260,200.0,200
1261,200.0,200
1262,200.0,200
1263,200.0,200
1264,200.0,200
1265,200.0,200
1266,200.0,200
1267,200.0,200
1268,200.0,200
1269,200.0,200
1270,200.0,200
1271,200.0,200
1272,200.0,200
1273,200.0,200
1274,200.0,200
1275,200.0,200
1276,200.0,200
1277,200.0,200
1278,200.0,200
1279,200.0,200
1280,200.0,200
1281,200.0,200
1282,200.0,200
1283,200.0,200
1284,200.0,200
1285,200.0,200
1286,200.0,200
1287,200.0,200
1288,200.0,200
1289,200.0,200
1290,200.0,200
1291,200.0,200
1292,200.0,200
1293,200.0,200
1294,200.0,200
1295,200.0,200
1296,200.0,200
1297,200.0,200
1298,200.0,200
1299,200.0,200
1300,200.0,200
1301,200.0,200
1302,200.0,200
1303,104.0,104
1304,200.0,200
1305,200.0,200
1306,200.0,200
1307,200.0,200
1308,200.0,200
1309,200.0,200
1310,200.0,200
1311,200.0,200
1312,200.0,200
1313,200.0,200
1314,158.0,158
1315,200.0,200
1316,200.0,200
1317,200.0,200
1318,200.0,200
1319,200.0,200
1320,200.0,200
1321,200.0,200
1322,200.0,200
1323,200.0,200
1324,200.0,200
1325,200.0,200
1326,200.0,200
1327,200.0,200
1328,200.0,200
1329,200.0,200
1330,200.0,200
1331,200.0,200
1332,200.0,200
1333,200.0,200
1334,200.0,200
1335,200.0,200
1336,200.0,200
1337,200.0,200
1338,200.0,200
1339,200.0,200
1340,190.0,190
1341,200.0,200
1342,200.0,200
1343,200.0,200
1344,200.0,200
1345,200.0,200
1346,200.0,200
1347,200.0,200
1348,200.0,200
1349,200.0,200
1350,200.0,200
1351,200.0,200
1352,200.0,200
1353,200.0,200
1354,200.0,200
1355,200.0,200
1356,200.0,200
1357,200.0,200
1358,200.0,200
1359,200.0,200
1360,200.0,200
1361,200.0,200
1362,175.0,175
1363,135.0,135
1364,200.0,200
1365,200.0,200
1366,200.0,200
1367,200.0,200
1368,200.0,200
1369,200.0,200
1370,200.0,200
1371,200.0,200
1372,200.0,200
1373,200.0,200
1374,200.0,200
1375,200.0,200
1376,200.0,200
1377,200.0,200
1378,200.0,200
1379,200.0,200
1380,200.0,200
1381,200.0,200
1382,200.0,200
1383,200.0,200
1384,200.0,200
1385,200.0,200
1386,200.0,200
